Version Number,1,,,,,,,,,,,,,
Block Format,1,,,,,,,,,,,,,
Number of Teams,52,,,,,,,,,,,,,
1,Team-1,1,,,,,,,,,,,,
2,Team-2,2,,,,,,,,,,,,
3,Team-3,3,,,,,,,,,,,,
4,Team-4,4,,,,,,,,,,,,
5,Team-5,5,,,,,,,,,,,,
6,Team-6,6,,,,,,,,,,,,
7,Team-7,7,,,,,,,,,,,,
8,Team-8,8,,,,,,,,,,,,
9,Team-9,9,,,,,,,,,,,,
10,Team-10,10,,,,,,,,,,,,
11,Team-11,11,,,,,,,,,,,,
12,Team-12,12,,,,,,,,,,,,
13,Team-13,13,,,,,,,,,,,,
14,Team-14,14,,,,,,,,,,,,
15,Team-15,15,,,,,,,,,,,,
16,Team-16,16,,,,,,,,,,,,
17,Team-17,17,,,,,,,,,,,,
18,Team-18,18,,,,,,,,,,,,
19,Team-19,19,,,,,,,,,,,,
20,Team-20,20,,,,,,,,,,,,
21,Team-21,21,,,,,,,,,,,,
22,Team-22,22,,,,,,,,,,,,
23,Team-23,23,,,,,,,,,,,,
24,Team-24,24,,,,,,,,,,,,
25,Team-25,25,,,,,,,,,,,,
26,Team-26,26,,,,,,,,,,,,
27,Team-27,27,,,,,,,,,,,,
28,Team-28,28,,,,,,,,,,,,
29,Team-29,29,,,,,,,,,,,,
30,Team-30,30,,,,,,,,,,,,
31,Team-31,31,,,,,,,,,,,,
32,Team-32,32,,,,,,,,,,,,
33,Team-33,33,,,,,,,,,,,,
34,Team-34,34,,,,,,,,,,,,
35,Team-35,35,,,,,,,,,,,,
36,Team-36,36,,,,,,,,,,,,
37,Team-37,37,,,,,,,,,,,,
38,Team-38,38,,,,,,,,,,,,
39,Team-39,39,,,,,,,,,,,,
40,Team-40,40,,,,,,,,,,,,
41,Team-41,41,,,,,,,,,,,,
42,Team-42,42,,,,,,,,,,,,
43,Team-43,43,,,,,,,,,,,,
44,Team-44,44,,,,,,,,,,,,
45,Team-45,45,,,,,,,,,,,,
46,Team-46,46,,,,,,,,,,,,
47,Team-47,47,,,,,,,,,,,,
48,Team-48,48,,,,,,,,,,,,
49,Team-49,49,,,,,,,,,,,,
50,Team-50,50,,,,,,,,,,,,
51,Team-51,51,,,,,,,,,,,,
52,Team-52,52,,,,,,,,,,,,
Block Format,2,,,,,,,,,,,,,
Number of Ranking Matches,39,,,,,,,,,,,,,
Number of Tables,6,,,,,,,,,,,,,
Number of Teams Per Table,2,,,,,,,,,,,,,
Number of Simultaneous Tables,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
